generated_index,metric,rank,real_slice_index,score
75,PSNR,3,8995,20.4185
75,SSIM,1,21031,0.5672
75,SSIM,2,10009,0.5608
75,SSIM,3,10015,0.5608
76,PSNR,1,17095,27.8545
76,PSNR,2,17098,26.9305
76,PSNR,3,17089,26.4629
76,SSIM,1,17095,0.8511
76,SSIM,2,17089,0.8236
76,SSIM,3,17101,0.8123
77,PSNR,1,17569,23.5240
77,PSNR,2,17575,23.3655
77,PSNR,3,17551,22.9716
77,SSIM,1,17569,0.7645
77,SSIM,2,17575,0.7566
77,SSIM,3,17563,0.7417
78,PSNR,1,8869,22.7798
78,PSNR,2,8857,22.6885
78,PSNR,3,8875,22.6200
78,SSIM,1,4891,0.7742
78,SSIM,2,4885,0.7711
78,SSIM,3,4879,0.7650
79,PSNR,1,7499,21.9000
79,PSNR,2,12629,21.8423
79,PSNR,3,7495,21.8240
79,SSIM,1,16051,0.7296
79,SSIM,2,16045,0.7246
79,SSIM,3,10057,0.7197
80,PSNR,1,13279,20.7032
80,PSNR,2,9018,20.4709
80,PSNR,3,8994,20.4689
80,SSIM,1,13279,0.6336
80,SSIM,2,21271,0.6228
80,SSIM,3,21265,0.6208
81,PSNR,1,7897,22.3944
81,PSNR,2,3567,22.3657
81,PSNR,3,7891,22.3408
81,SSIM,1,3571,0.6498
81,SSIM,2,3577,0.6484
81,SSIM,3,3559,0.6482
82,PSNR,1,19301,22.7946
82,PSNR,2,19297,22.5711
82,PSNR,3,19309,22.5144
82,SSIM,1,7885,0.7446
82,SSIM,2,7891,0.7431
82,SSIM,3,7879,0.7396
83,PSNR,1,19301,23.2991
83,PSNR,2,18937,22.7627
83,PSNR,3,2957,22.7528
83,SSIM,1,7885,0.7588
83,SSIM,2,7891,0.7508
83,SSIM,3,7879,0.7503
84,PSNR,1,15389,22.1023
84,PSNR,2,15375,21.9542
84,PSNR,3,15383,21.7838
84,SSIM,1,529,0.7001
84,SSIM,2,547,0.6964
84,SSIM,3,553,0.6952
85,PSNR,1,19933,30.7786
85,PSNR,2,19932,30.4241
85,PSNR,3,19934,30.2187
85,SSIM,1,19932,0.9084
85,SSIM,2,19926,0.8959
85,SSIM,3,19933,0.8766
86,PSNR,1,19935,31.0705
86,PSNR,2,19934,30.7196
86,PSNR,3,19936,29.9615
86,SSIM,1,19932,0.8810
86,SSIM,2,19926,0.8739
86,SSIM,3,19920,0.8604
87,PSNR,1,2183,21.8762
87,PSNR,2,8299,21.8715
87,PSNR,3,2195,21.8144
87,SSIM,1,15109,0.6943
87,SSIM,2,15103,0.6922
87,SSIM,3,13051,0.6913
88,PSNR,1,11682,20.6742
88,PSNR,2,3775,20.1144
88,PSNR,3,3776,20.0235
88,SSIM,1,11682,0.6469
88,SSIM,2,3775,0.6283
88,SSIM,3,3781,0.6267
89,PSNR,1,20179,24.2593
89,PSNR,2,20181,24.1411
89,PSNR,3,20186,23.8158
89,SSIM,1,20179,0.7425
89,SSIM,2,20185,0.7254
89,SSIM,3,20191,0.7241
90,PSNR,1,20425,25.8390
90,PSNR,2,20426,25.3896
90,PSNR,3,20431,24.5638
90,SSIM,1,20426,0.7529
90,SSIM,2,20425,0.7369
90,SSIM,3,20424,0.7274
91,PSNR,1,2433,22.1072
91,PSNR,2,2434,21.3630
91,PSNR,3,2432,21.3539
91,SSIM,1,20791,0.6615
91,SSIM,2,20785,0.6567
91,SSIM,3,20797,0.6438
92,PSNR,1,21138,26.2080
92,PSNR,2,21141,25.3238
92,PSNR,3,21143,24.5637
92,SSIM,1,21138,0.7740
92,SSIM,2,21141,0.7375
92,SSIM,3,21143,0.7368
93,PSNR,1,1704,20.6327
93,PSNR,2,12035,20.6289
93,PSNR,3,12009,20.5910
93,SSIM,1,6313,0.6031
93,SSIM,2,11251,0.6026
93,SSIM,3,11263,0.6004
94,PSNR,1,12071,20.7085
94,PSNR,2,20273,20.4437
94,PSNR,3,12077,20.4370
94,SSIM,1,22003,0.6713
94,SSIM,2,22027,0.6710
94,SSIM,3,21481,0.6696
95,PSNR,1,15389,22.3262
95,PSNR,2,15388,22.3202
95,PSNR,3,15395,22.2327
95,SSIM,1,21571,0.6702
95,SSIM,2,21565,0.6646
95,SSIM,3,21601,0.6636
96,PSNR,1,21591,18.5244
96,PSNR,2,21590,18.4023
96,PSNR,3,21585,18.2596
96,SSIM,1,21589,0.4887
96,SSIM,2,21583,0.4763
96,SSIM,3,21595,0.4651
97,PSNR,1,21757,21.9299
97,PSNR,2,7867,21.8518
97,PSNR,3,7861,21.8196
97,SSIM,1,21757,0.6896
97,SSIM,2,21763,0.6636
97,SSIM,3,21769,0.6575
98,PSNR,1,6319,21.1101
98,PSNR,2,14869,21.1081
98,PSNR,3,6301,21.0609
98,SSIM,1,6313,0.6998
98,SSIM,2,6319,0.6977
98,SSIM,3,21271,0.6914
99,PSNR,1,1821,20.7834
99,PSNR,2,1827,20.7014
99,PSNR,3,6277,20.6821
99,SSIM,1,16039,0.6715
99,SSIM,2,16045,0.6689
99,SSIM,3,16051,0.6620
